experiment 2019-01-28_au in o2 800um nozzle_irregular-January212020161648				
Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	Background_Counts per Second	
1322.41	164.2	1054.75	1082.1	
1322.51	164.1	1036.82	1170.44	
1322.61	164	1037.48	1004.06	
1322.71	163.9	1070.71	1038.94	
1322.81	163.8	1056.27	1004.07	
1322.91	163.7	1073.71	1127.5	
1323.01	163.6	1048.37	1092.25	
1323.11	163.5	1068.75	1092.88	
1323.21	163.4	1039.61	1081.09	
1323.31	163.3	1046.86	1053.3	
1323.41	163.2	1040.39	1124.23	
1323.51	163.1	1069.75	1006.39	
1323.61	163	1062.88	994.152	
1323.71	162.9	1066.32	1058.27	
1323.81	162.8	1067.37	1073.2	
1323.91	162.7	1065.49	1096.79	
1324.01	162.6	1042.96	1089.31	
1324.11	162.5	1072.56	997.193	
1324.21	162.4	1050.79	997.648	
1324.31	162.3	1063.11	1115.18	
1324.41	162.2	1067.2	1133.93	
1324.51	162.1	1075.94	1061.16	
1324.61	162	1084.84	1037.06	
1324.71	161.9	1049.94	1049.57	
1324.81	161.8	1046.76	1116.86	
1324.91	161.7	1077.18	1116.26	
1325.01	161.6	1045.95	1077.47	
1325.11	161.5	1023.11	1003.66	
1325.21	161.4	1052.49	961.557	
1325.31	161.3	1080.2	1096.64	
1325.41	161.2	1065.46	1076.7	
1325.51	161.1	1074.26	1144.87	
1325.61	161	1085.48	1102.64	
1325.71	160.9	1083.47	1098.69	
1325.81	160.8	1076.76	1067.72	
1325.91	160.7	1051.35	1038.29	
1326.01	160.6	1071.1	1032.04	
1326.11	160.5	1078.85	1106.89	
1326.21	160.4	1056.6	1044.52	
1326.31	160.3	1057.78	1031.91	
1326.41	160.2	1046.82	1061.61	
1326.51	160.1	1081.28	1046.18	
1326.61	160	1086.82	1057.15	
1326.71	159.9	1071.8	1048.53	
1326.81	159.8	1053	1063.95	
1326.91	159.7	1055.72	1047.2	
1327.01	159.6	1067.97	1062.91	
1327.11	159.5	1040.67	1049.03	
1327.21	159.4	1053.05	1064.69	
1327.31	159.3	1064.31	1039.27	
1327.41	159.2	1093.6	1163.19	
1327.51	159.1	1096.46	1098.25	
1327.61	159	1086.97	1019.12	
1327.71	158.9	1062.84	1069.01	
1327.81	158.8	1061.14	1083.19	
1327.91	158.7	1053.95	1007.49	
1328.01	158.6	1065.67	977.477	
1328.11	158.5	1075.54	1104.93	
1328.21	158.4	1073.47	1138.05	
1328.31	158.3	1091.97	1088.48	
1328.41	158.2	1095.17	1066.15	
1328.51	158.1	1097.12	1090.77	
1328.61	158	1067.14	1166.81	
1328.71	157.9	1044.77	1066.68	
1328.81	157.8	1064.15	1053.18	
1328.91	157.7	1058.95	1064.45	
1329.01	157.6	1053.87	1003.58	
1329.11	157.5	1069.35	1053.17	
1329.21	157.4	1074.85	1094.83	
1329.31	157.3	1060.94	1038.38	
1329.41	157.2	1079.9	1135.65	
1329.51	157.1	1088.25	1098.12	
1329.61	157	1074.5	1102.5	
1329.71	156.9	1063.8	1062.68	
1329.81	156.8	1105.85	1203.61	
1329.91	156.7	1077.94	1131.78	
1330.01	156.6	1070.4	1153.81	
1330.11	156.5	1091.83	1172.29	
1330.21	156.4	1106.88	1182.19	
1330.31	156.3	1110.39	1189.09	
1330.41	156.2	1086.22	1052.23	
1330.51	156.1	1073.5	1074.81	
1330.61	156	1090.96	1071.78	
1330.71	155.9	1099.08	1086.58	
1330.81	155.8	1090.24	1109.08	
1330.91	155.7	1098.7	1149.98	
1331.01	155.6	1092.27	1141.6	
1331.11	155.5	1074.64	1051.14	
1331.21	155.4	1102.48	1057.38	
1331.31	155.3	1070.37	1074.73	
1331.41	155.2	1099.48	1117.84	
1331.51	155.1	1061.23	1019.34	
1331.61	155	1095.24	1176.37	
1331.71	154.9	1094.59	1097.95	
1331.81	154.8	1071.87	1121.99	
1331.91	154.7	1103.63	1202.37	
1332.01	154.6	1122.76	1206.22	
1332.11	154.5	1097.86	1173.21	
1332.21	154.4	1062.94	1010.75	
1332.31	154.3	1083.7	1067.8	
1332.41	154.2	1097.41	1045.59	
1332.51	154.1	1110	1062.13	
1332.61	154	1096.23	1067.91	
1332.71	153.9	1108.52	1070.92	
1332.81	153.8	1096.56	1092.11	
1332.91	153.7	1098.47	1062.2	
1333.01	153.6	1067.26	1096.57	
1333.11	153.5	1065.36	1127.45	
1333.21	153.4	1108.38	1145.23	
1333.31	153.3	1090.04	1123.56	
1333.41	153.2	1097.13	1077.36	
1333.51	153.1	1066.03	1094.8	
1333.61	153	1086.56	1149.28	
1333.71	152.9	1103.63	1108.15	
1333.81	152.8	1102.1	1117.02	
1333.91	152.7	1093.87	1100.67	
1334.01	152.6	1120.86	1065.04	
1334.11	152.5	1087.4	1078.41	
1334.21	152.4	1097.43	1135.03	
1334.31	152.3	1108.12	1117.67	
1334.41	152.2	1095.97	1123.81	
