experiment 2019-01-28_au in o2 800um nozzle_irregular-January212020161648				
Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	Background_Counts per Second	
1349.71	136.9	1133.45	1215.52	
1349.81	136.8	1151.71	1174.5	
1349.91	136.7	1148.7	1119.71	
1350.01	136.6	1124.99	1167.36	
1350.11	136.5	1136.63	1191.62	
1350.21	136.4	1132.12	1088.53	
1350.31	136.3	1163.71	1132.8	
1350.41	136.2	1145.95	1134.58	
1350.51	136.1	1161.24	1199.42	
1350.61	136	1153.94	1158.15	
1350.71	135.9	1163.53	1175.29	
1350.81	135.8	1135.04	1047.07	
1350.91	135.7	1135.62	1163.43	
1351.01	135.6	1175.58	1207.66	
1351.11	135.5	1149.43	1192.84	
1351.21	135.4	1129.05	1194.91	
1351.31	135.3	1130.69	1184.68	
1351.41	135.2	1157.64	1157.79	
1351.51	135.1	1153.85	1195.08	
1351.61	135	1134.27	1175.53	
1351.71	134.9	1119.2	1151.69	
1351.81	134.8	1142.89	1074.76	
1351.91	134.7	1129.34	1061.4	
1352.01	134.6	1145.22	1081.44	
1352.11	134.5	1144.85	1090.18	
1352.21	134.4	1140.09	1152.32	
1352.31	134.3	1140.62	1152.85	
1352.41	134.2	1154.99	1190.82	
1352.51	134.1	1129.7	1144.04	
1352.61	134	1137.6	1135.46	
1352.71	133.9	1145.78	1096.02	
1352.81	133.8	1177.39	1119.26	
1352.91	133.7	1137.55	1126.91	
1353.01	133.6	1116.74	1084.17	
1353.11	133.5	1163.93	1156.43	
1353.21	133.4	1174.38	1201.39	
1353.31	133.3	1167.38	1123.22	
1353.41	133.2	1185.18	1127	
1353.51	133.1	1175.25	1122.25	
1353.61	133	1189.33	1128.16	
1353.71	132.9	1189.21	1185.25	
1353.81	132.8	1174.6	1117.05	
1353.91	132.7	1154.78	1184.61	
1354.01	132.6	1143.97	1215.35	
1354.11	132.5	1147.5	1206.66	
1354.21	132.4	1144.79	1191.63	
1354.31	132.3	1145.4	1167.22	
1354.41	132.2	1147.58	1115.27	
1354.51	132.1	1149.68	1147.56	
1354.61	132	1162.58	1097.4	
1354.71	131.9	1185.57	1099.08	
1354.81	131.8	1144.4	1117.89	
1354.91	131.7	1160.26	1092.63	
1355.01	131.6	1181.36	1156.7	
1355.11	131.5	1161.57	1194.02	
1355.21	131.4	1156.01	1138.66	
1355.31	131.3	1179.79	1190.58	
1355.41	131.2	1155.04	1163.14	
1355.51	131.1	1173.88	1151.86	
1355.61	131	1150.07	1130.4	
1355.71	130.9	1159.29	1144.02	
1355.81	130.8	1161.17	1214.99	
1355.91	130.7	1192.49	1196.53	
1356.01	130.6	1149.96	1130.84	
1356.11	130.5	1162.8	1204.39	
1356.21	130.4	1166.72	1228.7	
1356.31	130.3	1127.55	1133.13	
1356.41	130.2	1133.66	1122.66	
1356.51	130.1	1136.12	1148.42	
1356.61	130	1145.11	1180.39	
1356.66	129.95	1137.78	1168.26	
1356.71	129.9	1149.14	1175.01	
1356.76	129.85	1161.37	1178.05	
1356.81	129.8	1145.42	1150.56	
1356.86	129.75	1126.93	1129.69	
1356.91	129.7	1132.63	1123.84	
1356.96	129.65	1148.72	1155.11	
1357.01	129.6	1142.98	1136.18	
1357.06	129.55	1135.59	1140.12	
1357.11	129.5	1149.6	1164.29	
1357.16	129.45	1143.67	1134.53	
1357.21	129.4	1160	1178.42	
1357.26	129.35	1134.41	1100.68	
1357.31	129.3	1124.82	1117.38	
1357.36	129.25	1141.18	1166.94	
1357.41	129.2	1148.57	1154.92	
1357.46	129.15	1142.74	1150.98	
1357.51	129.1	1158.02	1132.19	
1357.56	129.05	1148.74	1133.42	
1357.61	129	1160.75	1125.71	
1357.66	128.95	1158.93	1167.22	
1357.71	128.9	1165.54	1151.03	
1357.76	128.85	1160.8	1153.75	
1357.81	128.8	1166.01	1188.05	
1357.86	128.75	1147.31	1178.1	
1357.91	128.7	1154.44	1168.61	
1357.96	128.65	1149.55	1132.77	
1358.01	128.6	1141.13	1131.16	
1358.06	128.55	1144.12	1173.75	
1358.11	128.5	1155.02	1191.04	
1358.16	128.45	1154.5	1188.99	
1358.21	128.4	1163.74	1156.45	
1358.26	128.35	1160.03	1142.26	
1358.31	128.3	1166.33	1191.35	
1358.36	128.25	1151.96	1134.48	
1358.41	128.2	1148.32	1142.23	
1358.46	128.15	1153.87	1128	
1358.51	128.1	1142.71	1146.16	
1358.56	128.05	1152.09	1226	
1358.61	128	1140.86	1167.79	
1358.66	127.95	1143.21	1154.36	
1358.71	127.9	1164.63	1190.49	
1358.76	127.85	1175.86	1194.64	
1358.81	127.8	1167.81	1188.8	
1358.86	127.75	1170.99	1169.02	
1358.91	127.7	1155.06	1172.39	
1358.96	127.65	1132.6	1203.97	
1359.01	127.6	1157.12	1160.82	
1359.06	127.55	1167.76	1114.95	
1359.11	127.5	1154.51	1123.33	
1359.16	127.45	1160.63	1131.82	
1359.21	127.4	1153.38	1127.5	
1359.26	127.35	1157.16	1178.6	
1359.31	127.3	1157.36	1109.25	
1359.36	127.25	1151.96	1179.97	
1359.41	127.2	1169.27	1141.21	
1359.46	127.15	1165.33	1173.05	
1359.51	127.1	1152.08	1193.41	
1359.56	127.05	1163.7	1138.46	
1359.61	127	1157.31	1204.53	
1359.66	126.95	1157.63	1187.78	
1359.71	126.9	1155.25	1181.21	
1359.76	126.85	1147.84	1178.32	
1359.81	126.8	1162.87	1178.9	
1359.86	126.75	1162.4	1169.36	
1359.91	126.7	1177.62	1223.49	
1359.96	126.65	1169.71	1175.54	
1360.01	126.6	1157.14	1214.58	
1360.06	126.55	1158.93	1200.66	
1360.11	126.5	1168.33	1155.9	
1360.16	126.45	1153.33	1156.75	
1360.21	126.4	1160.98	1133.81	
