C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p
479.11	1007.5	11723.9
479.21	1007.4	11763.5
479.31	1007.3	11762.5
479.41	1007.2	11758.8
479.51	1007.1	11758.2
479.61	1007	11751.8
479.71	1006.9	11677.6
479.81	1006.8	11711.3
479.91	1006.7	11733
480.01	1006.6	11752.2
480.11	1006.5	11772
480.21	1006.4	11749.4
480.31	1006.3	11758.4
480.41	1006.2	11766.9
480.51	1006.1	11805.5
480.61	1006	11764
480.71	1005.9	11736.6
480.81	1005.8	11730.9
480.91	1005.7	11711.8
481.01	1005.6	11724.8
481.11	1005.5	11722.8
481.21	1005.4	11735.9
481.31	1005.3	11731.7
481.41	1005.2	11794.2
481.51	1005.1	11800.3
481.61	1005	11763.1
481.71	1004.9	11786.7
481.81	1004.8	11782.5
481.91	1004.7	11833.5
482.01	1004.6	11736
482.11	1004.5	11762.4
482.21	1004.4	11785.1
482.31	1004.3	11763.6
482.41	1004.2	11766.1
482.51	1004.1	11770.4
482.61	1004	11841.7
482.71	1003.9	11833.2
482.81	1003.8	11829.7
482.91	1003.7	11844.9
483.01	1003.6	11820.1
483.11	1003.5	11785.4
483.21	1003.4	11826.6
483.31	1003.3	11784.5
483.41	1003.2	11830.1
483.51	1003.1	11850.2
483.61	1003	11870.7
483.71	1002.9	11850.4
483.81	1002.8	11882
483.91	1002.7	11858
484.01	1002.6	11870.9
484.11	1002.5	11872.2
484.21	1002.4	11891.1
484.31	1002.3	11878.1
484.41	1002.2	11913.6
484.51	1002.1	11924.7
484.61	1002	11916
484.71	1001.9	11965.6
484.81	1001.8	11905.5
484.91	1001.7	11957.9
485.01	1001.6	11898.6
485.11	1001.5	11972
485.21	1001.4	11909.9
485.31	1001.3	11934.9
485.41	1001.2	11951.5
485.51	1001.1	11921.4
485.61	1001	11954
485.71	1000.9	11994.9
485.81	1000.8	11998.1
485.91	1000.7	11977.7
486.01	1000.6	11943.7
486.11	1000.5	11941.5
486.21	1000.4	11984.5
486.31	1000.3	11991.2
486.41	1000.2	11959.7
486.51	1000.1	11987.4
486.61	1000	11957
486.71	999.9	12015.1
486.81	999.8	12005.3
486.91	999.7	12036.1
487.01	999.6	12053.2
487.11	999.5	12007.2
487.21	999.4	12010.4
487.31	999.3	12071.4
487.41	999.2	12058.5
487.51	999.1	12063.7
487.61	999	12065.4
487.71	998.9	12090
487.81	998.8	12098.5
487.91	998.7	12120.3
488.01	998.6	12054.2
488.11	998.5	12107.5
488.21	998.4	12096.2
488.31	998.3	12110.4
488.41	998.2	12122.5
488.51	998.1	12105.5
488.61	998	12087.7
488.71	997.9	12095.4
488.81	997.8	12128
488.91	997.7	12165.7
489.01	997.6	12156.6
489.11	997.5	12095.2
489.21	997.4	12140.9
489.31	997.3	12175.8
