CasaXP50
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Cu2p	BE_Cu2p	CPS_Cu2p
518.76	967.85	8366.76
518.81	967.8	8406.58
518.86	967.75	8287.12
518.91	967.7	8245.5
518.96	967.65	8490.15
519.01	967.6	8425.71
519.06	967.55	8467.51
519.11	967.5	8580.51
519.16	967.45	8272.64
519.21	967.4	8156.92
519.26	967.35	8512.54
519.31	967.3	8425.02
519.36	967.25	8346.96
519.41	967.2	8304.04
519.46	967.15	8323.6
519.51	967.1	8363.6
519.56	967.05	8341.69
519.61	967	8299.29
519.66	966.95	8289.5
519.71	966.9	8493.62
519.76	966.85	8444.76
519.81	966.8	8466.23
519.86	966.75	8401.84
519.91	966.7	8417.24
519.96	966.65	8392.04
520.01	966.6	8654.03
520.06	966.55	8481.06
520.11	966.5	8534.25
520.16	966.45	8493.28
520.21	966.4	8562.51
520.26	966.35	8414.04
520.31	966.3	8614.41
520.36	966.25	8582.23
520.41	966.2	8519.37
520.46	966.15	8440.94
520.51	966.1	8498.46
520.56	966.05	8487.04
520.61	966	8545.72
520.66	965.95	8435.56
520.71	965.9	8544.56
520.76	965.85	8543.98
520.81	965.8	8648.99
520.86	965.75	8731.24
520.91	965.7	8537.2
520.96	965.65	8542.78
521.01	965.6	8455.84
521.06	965.55	8560.37
521.11	965.5	8642.11
521.16	965.45	8659.06
521.21	965.4	8608.7
521.26	965.35	8579.62
521.31	965.3	8598.95
521.36	965.25	8620.59
521.41	965.2	8613.12
521.46	965.15	8841.62
521.51	965.1	8629.68
521.56	965.05	8674.97
521.61	965	8709.78
521.66	964.95	8692.62
521.71	964.9	8542.1
521.76	964.85	8735.87
521.81	964.8	8479.01
521.86	964.75	8725.12
521.91	964.7	8735.97
521.96	964.65	8683.2
522.01	964.6	8715.74
522.06	964.55	8740.77
522.11	964.5	8430.2
522.16	964.45	8719.65
522.21	964.4	8720.15
522.26	964.35	8733.46
522.31	964.3	8591.05
522.36	964.25	8647.56
522.41	964.2	8718.89
522.46	964.15	8676.97
522.51	964.1	8679.56
522.56	964.05	8644.63
522.61	964	8646.88
522.66	963.95	8662.26
522.71	963.9	8589.72
522.76	963.85	8376.93
522.81	963.8	8460.82
522.86	963.75	8548.29
522.91	963.7	8591.62
522.96	963.65	8532.72
523.01	963.6	8572.98
523.06	963.55	8445.21
523.11	963.5	8453.89
523.16	963.45	8384.69
523.21	963.4	8313.19
523.26	963.35	8536.8
523.31	963.3	8455.04
523.36	963.25	8485.55
523.41	963.2	8485.1
523.46	963.15	8401.63
523.51	963.1	8488.09
523.56	963.05	8487.24
523.61	963	8380.52
523.66	962.95	8367.72
523.71	962.9	8379.99
523.76	962.85	8385.22
523.81	962.8	8340.97
523.86	962.75	8431.44
523.91	962.7	8395.56
523.96	962.65	8491.78
524.01	962.6	8304.74
524.06	962.55	8298.84
524.11	962.5	8401.55
524.16	962.45	8327.4
524.21	962.4	8284.97
524.26	962.35	8215.81
524.31	962.3	8340.5
524.36	962.25	8366.11
524.41	962.2	8267.58
524.46	962.15	8095.88
524.51	962.1	8096.32
524.56	962.05	8201.45
524.61	962	8310.46
524.66	961.95	8206.03
524.71	961.9	8337.27
524.76	961.85	8364.42
524.81	961.8	8347.18
524.86	961.75	8207.62
524.91	961.7	8219.05
524.96	961.65	8116.58
525.01	961.6	8161.86
525.06	961.55	8139.97
525.11	961.5	8171.3
525.16	961.45	8291.04
525.21	961.4	8046.34
525.26	961.35	8163.33
525.31	961.3	8186
525.36	961.25	8303.95
525.41	961.2	8227.01
525.46	961.15	8191.34
525.51	961.1	8239.24
525.56	961.05	8384.58
525.61	961	8287.17
525.66	960.95	8132.2
525.71	960.9	8296.62
525.76	960.85	8226.15
525.81	960.8	8275.96
525.86	960.75	8141.24
525.91	960.7	8255.91
525.96	960.65	8334.56
526.01	960.6	8359.17
526.06	960.55	8432.37
526.11	960.5	8279.83
526.16	960.45	8233.19
526.21	960.4	8250.61
526.26	960.35	8104.74
526.31	960.3	8072.73
526.36	960.25	8199.31
526.41	960.2	8263.83
526.46	960.15	8245.88
526.51	960.1	8280.08
526.56	960.05	8337.03
526.61	960	8201.93
526.66	959.95	8253.79
526.71	959.9	8283.23
526.76	959.85	8279.73
526.81	959.8	8250.55
526.86	959.75	8275.12
526.91	959.7	8354.06
526.96	959.65	8299.74
527.01	959.6	8284.68
527.06	959.55	8365.12
527.11	959.5	8314.34
527.16	959.45	8313.75
527.21	959.4	8395.54
527.26	959.35	8523.1
527.31	959.3	8259.84
527.36	959.25	8224.99
527.41	959.2	8386.23
527.46	959.15	8412.27
527.51	959.1	8294.9
527.56	959.05	7975.72
527.61	959	8333.71
527.66	958.95	8319.25
527.71	958.9	8396.1
527.76	958.85	8243.77
527.81	958.8	8377.99
527.86	958.75	8272.81
527.91	958.7	8414.74
527.96	958.65	8462.35
528.01	958.6	8365.33
528.06	958.55	8214.75
528.11	958.5	8422.48
528.16	958.45	8478.61
528.21	958.4	8252.2
528.26	958.35	8265.3
528.31	958.3	8271.18
528.36	958.25	8361.63
528.41	958.2	8378.89
528.46	958.15	8305.27
528.51	958.1	8296.28
528.56	958.05	8312.35
528.61	958	8333.74
528.66	957.95	8334.9
528.71	957.9	8447.72
528.76	957.85	8266.15
528.81	957.8	8414.27
528.86	957.75	8386.31
528.91	957.7	8439.06
528.96	957.65	8568.59
529.01	957.6	8515.8
529.06	957.55	8560.89
529.11	957.5	8323.09
529.16	957.45	8560.44
529.21	957.4	8458.3
529.26	957.35	8656.06
529.31	957.3	8515.69
529.36	957.25	8599.54
529.41	957.2	8545.26
529.46	957.15	8517.41
529.51	957.1	8560.9
529.56	957.05	8569.22
529.61	957	8649.21
529.66	956.95	8705.16
529.71	956.9	8436.82
529.76	956.85	8474.72
529.81	956.8	8528.86
529.86	956.75	8623.31
529.91	956.7	8477.17
529.96	956.65	8590.21
530.01	956.6	8607.82
530.06	956.55	8715.39
530.11	956.5	8776.78
530.16	956.45	8609.03
530.21	956.4	8683.66
530.26	956.35	8569.36
530.31	956.3	8780.58
530.36	956.25	8784.44
530.41	956.2	8669.94
530.46	956.15	8808.98
530.51	956.1	8887.95
530.56	956.05	8813.93
530.61	956	8659.46
530.66	955.95	8663.05
530.71	955.9	8822.68
530.76	955.85	8843.63
530.81	955.8	8829.51
530.86	955.75	8949.73
530.91	955.7	8926.12
530.96	955.65	8912.45
531.01	955.6	8886.67
531.06	955.55	8896.9
531.11	955.5	8872.84
531.16	955.45	9034.27
531.21	955.4	9154.54
531.26	955.35	9146.95
531.31	955.3	9180.19
531.36	955.25	9173.93
531.41	955.2	9258.23
531.46	955.15	9300.19
531.51	955.1	9249.37
531.56	955.05	9306.99
531.61	955	9260.23
531.66	954.95	9291.82
531.71	954.9	9603.58
531.76	954.85	9618.24
531.81	954.8	9523.81
531.86	954.75	9565.73
531.91	954.7	9575.81
531.96	954.65	9666.71
532.01	954.6	9768.07
532.06	954.55	9651.92
532.11	954.5	9777.31
532.16	954.45	10005.9
532.21	954.4	10096.1
532.26	954.35	10196.6
532.31	954.3	10270.3
532.36	954.25	10335.8
532.41	954.2	10626.9
532.46	954.15	10639.3
532.51	954.1	10744.7
532.56	954.05	11009.8
532.61	954	11030.2
532.66	953.95	11356
532.71	953.9	11408.9
532.76	953.85	11427.4
532.81	953.8	11767.5
532.86	953.75	12169
532.91	953.7	12375.8
532.96	953.65	12587.1
533.01	953.6	12879.2
533.06	953.55	13146.2
533.11	953.5	13527.5
533.16	953.45	13965.5
533.21	953.4	14302.7
533.26	953.35	14724.9
533.31	953.3	15173.9
533.36	953.25	15539.6
533.41	953.2	16128.4
533.46	953.15	16723.3
533.51	953.1	17162.1
533.56	953.05	18145.2
533.61	953	18340
533.66	952.95	18984.1
533.71	952.9	19687.2
533.76	952.85	20373.6
533.81	952.8	21051.6
533.86	952.75	21777
533.91	952.7	22296.9
533.96	952.65	23008.3
534.01	952.6	23369.1
534.06	952.55	23733.4
534.11	952.5	23763.4
534.16	952.45	24004.7
534.21	952.4	24150.8
534.26	952.35	24070.9
534.31	952.3	23556.7
534.36	952.25	23058.6
534.41	952.2	22787.8
534.46	952.15	22364.9
534.51	952.1	21859.1
534.56	952.05	21169.8
534.61	952	20441.4
534.66	951.95	19778
534.71	951.9	19072.5
534.76	951.85	18324.6
534.81	951.8	17514.2
534.86	951.75	16766.1
534.91	951.7	16068.2
534.96	951.65	15646.2
535.01	951.6	14945.8
535.06	951.55	14371.7
535.11	951.5	14007.1
535.16	951.45	13354.1
535.21	951.4	13035.8
535.26	951.35	12576.4
535.31	951.3	12125.4
535.36	951.25	11934.9
535.41	951.2	11452.5
535.46	951.15	11486.7
535.51	951.1	11130.7
535.56	951.05	10824.5
