C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
477.21	1009.4	153210	153210
477.31	1009.3	153221	153221
477.41	1009.2	152451	152451
477.51	1009.1	151852	151852
477.61	1009	152222	152222
477.71	1008.9	152212	152212
477.81	1008.8	152807	152807
477.91	1008.7	152888	152888
478.01	1008.6	152565	152565
478.11	1008.5	152593	152593
478.21	1008.4	153796	153796
478.31	1008.3	153017	153017
478.41	1008.2	152731	152731
478.51	1008.1	152889	152889
478.61	1008	152851	152851
478.71	1007.9	152739	152739
478.81	1007.8	153043	153043
478.91	1007.7	153582	153582
479.01	1007.6	152558	152558
479.11	1007.5	152876	152876
479.21	1007.4	153580	153580
479.31	1007.3	153402	153402
479.41	1007.2	153011	153011
479.51	1007.1	152629	152629
479.61	1007	153499	153499
479.71	1006.9	153854	153854
479.81	1006.8	153648	153648
479.91	1006.7	153589	153589
480.01	1006.6	153822	153822
480.11	1006.5	154148	154148
480.21	1006.4	154693	154693
480.31	1006.3	153948	153948
480.41	1006.2	154006	154006
480.51	1006.1	153761	153761
480.61	1006	153047	153047
480.71	1005.9	154069	154069
480.81	1005.8	154558	154558
480.91	1005.7	154340	154340
481.01	1005.6	154472	154472
481.11	1005.5	154533	154533
481.21	1005.4	153949	153949
481.31	1005.3	154050	154050
481.41	1005.2	154077	154077
481.51	1005.1	155086	155086
481.61	1005	154883	154883
481.71	1004.9	154715	154715
481.81	1004.8	154478	154478
481.91	1004.7	154309	154309
482.01	1004.6	155063	155063
482.11	1004.5	154829	154829
482.21	1004.4	155020	155020
482.31	1004.3	155584	155584
482.41	1004.2	156241	156241
482.51	1004.1	155703	155703
482.61	1004	155431	155431
482.71	1003.9	155783	155783
482.81	1003.8	155469	155469
482.91	1003.7	155423	155423
483.01	1003.6	155036	155036
483.11	1003.5	155533	155533
483.21	1003.4	155783	155783
483.31	1003.3	155531	155531
483.41	1003.2	156275	156275
483.51	1003.1	155491	155491
483.61	1003	155951	155951
483.71	1002.9	156383	156383
483.81	1002.8	155534	155534
483.91	1002.7	156243	156243
484.01	1002.6	155132	155132
484.11	1002.5	156243	156243
484.21	1002.4	157104	157104
484.31	1002.3	156999	156999
484.41	1002.2	157105	157105
484.51	1002.1	156189	156189
484.61	1002	156928	156928
484.71	1001.9	156621	156621
484.81	1001.8	156413	156413
484.91	1001.7	157552	157552
485.01	1001.6	158065	158065
485.11	1001.5	157260	157260
485.21	1001.4	157376	157376
485.31	1001.3	157224	157224
485.41	1001.2	157849	157849
485.51	1001.1	157224	157224
485.61	1001	156997	156997
485.71	1000.9	157533	157533
485.81	1000.8	157007	157007
485.91	1000.7	157623	157623
486.01	1000.6	158751	158751
486.11	1000.5	158765	158765
486.21	1000.4	157913	157913
486.31	1000.3	158093	158093
486.41	1000.2	158026	158026
486.51	1000.1	156955	156955
486.61	1000	157153	157153
486.71	999.9	157196	157196
486.81	999.8	158017	158017
486.91	999.7	159341	159341
487.01	999.6	158746	158746
487.11	999.5	158412	158412
487.21	999.4	158821	158821
487.31	999.3	158490	158490
487.41	999.2	158189	158189
487.51	999.1	159094	159094
487.61	999	158579	158579
487.71	998.9	158238	158238
487.81	998.8	158950	158950
487.91	998.7	158993	158993
488.01	998.6	159431	159431
488.11	998.5	159545	159545
488.21	998.4	159103	159103
488.31	998.3	159164	159164
488.41	998.2	159027	159027
488.51	998.1	158591	158591
488.61	998	159062	159062
488.71	997.9	159515	159515
488.81	997.8	159571	159571
488.91	997.7	160137	160137
489.01	997.6	160497	160497
489.11	997.5	160214	160214
489.21	997.4	159588	159588
489.31	997.3	159881	159881
489.41	997.2	160267	160267
489.51	997.1	160789	160789
489.61	997	160369	160369
489.71	996.9	161005	161005
489.81	996.8	159679	159679
489.91	996.7	160115	160115
490.01	996.6	160340	160340
490.11	996.5	159992	159992
490.21	996.4	160005	160005
490.31	996.3	160338	160338
490.41	996.2	160192	160192
490.51	996.1	160095	160095
490.61	996	160381	160381
490.71	995.9	161067	161067
490.81	995.8	160750	160750
490.91	995.7	161501	161501
491.01	995.6	161533	161533
491.11	995.5	160706	160706
491.21	995.4	160917	160917
491.31	995.3	160334	160334
491.41	995.2	161023	161023
491.51	995.1	161548	161548
491.61	995	161596	161596
491.71	994.9	161377	161377
491.81	994.8	161613	161613
491.91	994.7	161866	161866
492.01	994.6	161784	161784
492.11	994.5	161530	161530
492.21	994.4	161163	161163
492.31	994.3	161073	161073
492.41	994.2	161265	161265
492.51	994.1	161670	161670
492.61	994	161341	161341
492.71	993.9	160747	160747
492.81	993.8	162183	162183
492.91	993.7	161862	161862
493.01	993.6	160458	160458
493.11	993.5	161390	161390
493.21	993.4	162151	162151
493.31	993.3	161995	161995
493.41	993.2	162243	162243
493.51	993.1	162672	162672
493.61	993	162167	162167
493.71	992.9	162005	162005
493.81	992.8	161672	161672
493.91	992.7	161917	161917
494.01	992.6	161856	161856
494.11	992.5	162401	162401
494.21	992.4	162751	162751
494.31	992.3	163684	163684
494.41	992.2	162590	162590
494.51	992.1	162111	162111
494.61	992	161907	161907
494.71	991.9	162902	162902
494.81	991.8	162992	162992
494.91	991.7	162535	162535
495.01	991.6	162478	162478
495.11	991.5	162583	162583
495.21	991.4	163258	163258
495.31	991.3	162995	162995
495.41	991.2	162423	162423
495.51	991.1	163267	163267
495.61	991	163955	163955
495.71	990.9	163373	163373
495.81	990.8	163136	163136
495.91	990.7	162930	162930
496.01	990.6	163014	163014
496.11	990.5	163549	163549
496.21	990.4	163413	163413
496.31	990.3	162890	162890
496.41	990.2	163279	163279
496.51	990.1	163484	163484
496.61	990	163905	163905
496.71	989.9	164087	164087
496.81	989.8	163185	163185
496.91	989.7	162788	162788
497.01	989.6	163897	163897
497.11	989.5	164109	164109
497.21	989.4	163668	163668
497.31	989.3	163289	163289
497.41	989.2	163730	163730
497.51	989.1	164133	164133
497.61	989	164244	164244
497.71	988.9	164788	164788
497.81	988.8	165236	165236
497.91	988.7	164558	164558
498.01	988.6	164352	164352
498.11	988.5	163987	163987
498.21	988.4	164241	164241
498.31	988.3	164530	164530
498.41	988.2	164781	164781
498.51	988.1	165453	165453
498.61	988	165395	165395
498.71	987.9	165613	165613
498.81	987.8	165291	165291
498.91	987.7	164799	164799
499.01	987.6	165553	165553
499.11	987.5	165657	165657
499.21	987.4	166276	166276
499.31	987.3	165001	165001
499.41	987.2	165648	165648
499.51	987.1	166150	166150
499.61	987	166295	166295
499.71	986.9	166395	166395
499.81	986.8	166569	166569
499.91	986.7	166379	166379
500.01	986.6	166654	166654
500.11	986.5	165966	165966
500.21	986.4	165913	165913
500.31	986.3	167021	167021
500.41	986.2	166849	166849
500.51	986.1	166284	166284
500.61	986	167226	167226
500.71	985.9	167004	167004
500.81	985.8	167216	167216
500.91	985.7	166898	166898
501.01	985.6	166661	166661
501.11	985.5	166785	166785
501.21	985.4	167633	167633
501.31	985.3	167105	167105
501.41	985.2	167888	167888
501.51	985.1	168053	168053
501.61	985	167477	167477
501.71	984.9	167387	167387
501.81	984.8	168167	168167
501.91	984.7	168368	168368
502.01	984.6	168135	168135
502.11	984.5	168118	168118
502.21	984.4	168073	168073
502.31	984.3	168316	168316
502.41	984.2	168589	168589
502.51	984.1	168667	168667
502.61	984	168947	168947
502.71	983.9	168652	168652
502.81	983.8	168826	168826
