C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected	Background_Survey TF corrected
383.11	1103.5	13098.4	13098.4
383.61	1103	13712.6	13712.6
384.11	1102.5	14897.9	14897.9
384.61	1102	15098.8	15098.8
385.11	1101.5	16102.6	16102.6
385.61	1101	16450.1	16450.1
386.11	1100.5	18037.9	18037.9
386.61	1100	19688.3	19688.3
387.11	1099.5	21134.8	21134.8
387.61	1099	23243.9	23243.9
388.11	1098.5	26047.4	26047.4
388.61	1098	27689.7	27689.7
389.11	1097.5	29506.1	29506.1
389.61	1097	30476.7	30476.7
390.11	1096.5	29724.2	29724.2
390.61	1096	29146.6	29146.6
391.11	1095.5	27163.6	27163.6
391.61	1095	24869.5	24869.5
392.11	1094.5	22290.9	22290.9
392.61	1094	19779.7	19779.7
393.11	1093.5	16870.4	16870.4
393.61	1093	13951.5	13951.5
394.11	1092.5	11740.7	11740.7
394.61	1092	10099.5	10099.5
395.11	1091.5	8615.79	8615.79
395.61	1091	8499.57	8499.57
396.11	1090.5	6920.68	6920.68
396.61	1090	5660.24	5660.24
397.11	1089.5	5121.28	5121.28
397.61	1089	4496.17	4496.17
398.11	1088.5	3211.61	3211.61
398.61	1088	3097.08	3097.08
399.11	1087.5	3209.24	3209.24
399.61	1087	3174.17	3174.17
400.11	1086.5	2469.13	2469.13
400.61	1086	2499.28	2499.28
401.11	1085.5	1907.38	1907.38
401.61	1085	1813.6	1813.6
402.11	1084.5	1184.62	1184.62
402.61	1084	992.836	992.836
403.11	1083.5	1018.78	1018.78
403.61	1083	1497.45	1497.45
404.11	1082.5	463.675	463.675
404.61	1082	649.175	649.175
405.11	1081.5	317.327	317.327
405.61	1081	99.3388	99.3388
