C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
477.21	1009.4	128069	128069
477.31	1009.3	127278	127278
477.41	1009.2	126849	126849
477.51	1009.1	126966	126966
477.61	1009	127242	127242
477.71	1008.9	127561	127561
477.81	1008.8	128101	128101
477.91	1008.7	128254	128254
478.01	1008.6	127717	127717
478.11	1008.5	128443	128443
478.21	1008.4	128648	128648
478.31	1008.3	127773	127773
478.41	1008.2	127316	127316
478.51	1008.1	127788	127788
478.61	1008	127962	127962
478.71	1007.9	128131	128131
478.81	1007.8	128976	128976
478.91	1007.7	128580	128580
479.01	1007.6	128167	128167
479.11	1007.5	127944	127944
479.21	1007.4	128463	128463
479.31	1007.3	128123	128123
479.41	1007.2	129137	129137
479.51	1007.1	128882	128882
479.61	1007	128599	128599
479.71	1006.9	129296	129296
479.81	1006.8	128827	128827
479.91	1006.7	127811	127811
480.01	1006.6	128178	128178
480.11	1006.5	128821	128821
480.21	1006.4	128846	128846
480.31	1006.3	128605	128605
480.41	1006.2	129210	129210
480.51	1006.1	129741	129741
480.61	1006	129747	129747
480.71	1005.9	129410	129410
480.81	1005.8	129052	129052
480.91	1005.7	129098	129098
481.01	1005.6	129081	129081
481.11	1005.5	128664	128664
481.21	1005.4	128878	128878
481.31	1005.3	129121	129121
481.41	1005.2	129399	129399
481.51	1005.1	129438	129438
481.61	1005	128453	128453
481.71	1004.9	128820	128820
481.81	1004.8	128583	128583
481.91	1004.7	129243	129243
482.01	1004.6	129723	129723
482.11	1004.5	130119	130119
482.21	1004.4	130390	130390
482.31	1004.3	130298	130298
482.41	1004.2	129906	129906
482.51	1004.1	129322	129322
482.61	1004	129609	129609
482.71	1003.9	130581	130581
482.81	1003.8	130080	130080
482.91	1003.7	129973	129973
483.01	1003.6	130095	130095
483.11	1003.5	129865	129865
483.21	1003.4	129723	129723
483.31	1003.3	129722	129722
483.41	1003.2	129896	129896
483.51	1003.1	130587	130587
483.61	1003	130277	130277
483.71	1002.9	130380	130380
483.81	1002.8	130178	130178
483.91	1002.7	130141	130141
484.01	1002.6	130682	130682
484.11	1002.5	130124	130124
484.21	1002.4	129738	129738
484.31	1002.3	129615	129615
484.41	1002.2	130740	130740
484.51	1002.1	130029	130029
484.61	1002	131229	131229
484.71	1001.9	131151	131151
484.81	1001.8	131216	131216
484.91	1001.7	130391	130391
485.01	1001.6	130649	130649
485.11	1001.5	130790	130790
485.21	1001.4	131002	131002
485.31	1001.3	131572	131572
485.41	1001.2	131431	131431
485.51	1001.1	131842	131842
485.61	1001	130789	130789
485.71	1000.9	130233	130233
485.81	1000.8	131421	131421
485.91	1000.7	131611	131611
486.01	1000.6	131935	131935
486.11	1000.5	132045	132045
486.21	1000.4	133034	133034
486.31	1000.3	132406	132406
486.41	1000.2	131570	131570
486.51	1000.1	131301	131301
486.61	1000	132275	132275
486.71	999.9	133436	133436
486.81	999.8	132565	132565
486.91	999.7	131417	131417
487.01	999.6	131802	131802
487.11	999.5	132502	132502
487.21	999.4	132098	132098
487.31	999.3	132008	132008
487.41	999.2	132966	132966
487.51	999.1	132787	132787
487.61	999	132845	132845
487.71	998.9	132663	132663
487.81	998.8	132651	132651
487.91	998.7	132604	132604
488.01	998.6	132369	132369
488.11	998.5	132416	132416
488.21	998.4	132379	132379
488.31	998.3	132546	132546
488.41	998.2	132650	132650
488.51	998.1	132904	132904
488.61	998	133270	133270
488.71	997.9	133227	133227
488.81	997.8	133055	133055
488.91	997.7	133257	133257
489.01	997.6	132762	132762
489.11	997.5	132724	132724
489.21	997.4	132621	132621
489.31	997.3	133315	133315
489.41	997.2	133752	133752
489.51	997.1	132627	132627
489.61	997	132798	132798
489.71	996.9	133999	133999
489.81	996.8	133630	133630
489.91	996.7	132900	132900
490.01	996.6	134028	134028
490.11	996.5	133508	133508
490.21	996.4	134467	134467
490.31	996.3	134019	134019
490.41	996.2	132825	132825
490.51	996.1	133663	133663
490.61	996	133958	133958
490.71	995.9	133510	133510
490.81	995.8	133871	133871
490.91	995.7	135132	135132
491.01	995.6	134632	134632
491.11	995.5	134047	134047
