C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected	Background_Survey TF corrected
381.11	1105.5	7375.32	7375.32
381.61	1105	7184.47	7184.47
382.11	1104.5	7954.87	7954.87
382.61	1104	9612.56	9612.56
383.11	1103.5	9737.55	9737.55
383.61	1103	8528.42	8528.42
384.11	1102.5	9142.37	9142.37
384.61	1102	9700.22	9700.22
385.11	1101.5	10344.7	10344.7
385.61	1101	10237.5	10237.5
386.11	1100.5	10883.1	10883.1
386.61	1100	11725.2	11725.2
387.11	1099.5	12676.2	12676.2
387.61	1099	15229.9	15229.9
388.11	1098.5	16907.3	16907.3
388.61	1098	18006	18006
389.11	1097.5	19100.5	19100.5
389.61	1097	19518.8	19518.8
390.11	1096.5	19330.5	19330.5
390.61	1096	19400.7	19400.7
391.11	1095.5	18363.8	18363.8
391.61	1095	15657.3	15657.3
392.11	1094.5	13508.5	13508.5
392.61	1094	12402.4	12402.4
393.11	1093.5	11004.4	11004.4
393.61	1093	8723.64	8723.64
394.11	1092.5	7046.06	7046.06
394.61	1092	6809.66	6809.66
395.11	1091.5	5238.96	5238.96
395.61	1091	5387.33	5387.33
396.11	1090.5	3764.09	3764.09
396.61	1090	3442.05	3442.05
397.11	1089.5	2849.51	2849.51
397.61	1089	3785.43	3785.43
398.11	1088.5	3439.47	3439.47
398.61	1088	2097.78	2097.78
399.11	1087.5	2530.87	2530.87
399.61	1087	2274	2274
400.11	1086.5	1952.25	1952.25
400.61	1086	1419.81	1419.81
401.11	1085.5	1557.52	1557.52
401.61	1085	1310.94	1310.94
402.11	1084.5	320.951	320.951
402.61	1084	365.628	365.628
403.11	1083.5	768.601	768.601
403.61	1083	698.621	698.621
404.11	1082.5	1736.77	1736.77
404.61	1082	1213.26	1213.26
405.11	1081.5	370.116	370.116
405.61	1081	494.844	494.844
