C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected	Background_Survey TF corrected
1336.61	150	33030.7	33030.7
1337.11	149.5	32972.6	32972.6
1337.61	149	33055.7	33055.7
1338.11	148.5	33344.3	33344.3
1338.61	148	33721.3	33721.3
1339.11	147.5	33672.4	33672.4
1339.61	147	33746.1	33746.1
1340.11	146.5	33398.2	33398.2
1340.61	146	33775.3	33775.3
1341.11	145.5	34219.7	34219.7
1341.61	145	34300.4	34300.4
1342.11	144.5	34528.3	34528.3
1342.61	144	34723.2	34723.2
1343.11	143.5	35053.2	35053.2
1343.61	143	34644.4	34644.4
1344.11	142.5	34399.4	34399.4
1344.61	142	34452.7	34452.7
1345.11	141.5	34254.6	34254.6
1345.61	141	34069.9	34069.9
1346.11	140.5	34146.5	34146.5
1346.61	140	33790.4	33790.4
1347.11	139.5	33576.8	33576.8
1347.61	139	33626	33626
1348.11	138.5	33871.5	33871.5
1348.61	138	33851.1	33851.1
1349.11	137.5	33879.1	33879.1
1349.61	137	34037	34037
1350.11	136.5	34037.8	34037.8
1350.61	136	34209.4	34209.4
1351.11	135.5	34263.2	34263.2
1351.61	135	33982.9	33982.9
1352.11	134.5	33964.5	33964.5
1352.61	134	33792.9	33792.9
1353.11	133.5	33982	33982
1353.61	133	34418.1	34418.1
1354.11	132.5	34544.1	34544.1
1354.61	132	34450.9	34450.9
1355.11	131.5	34538.4	34538.4
1355.61	131	34907.2	34907.2
1356.11	130.5	34420.2	34420.2
1356.61	130	33629.1	33629.1
1357.11	129.5	34146	34146
1357.61	129	34637.8	34637.8
1358.11	128.5	34571.8	34571.8
1358.61	128	35389.7	35389.7
1359.11	127.5	35877.9	35877.9
1359.61	127	36296.2	36296.2
1360.11	126.5	37159.7	37159.7
1360.61	126	38379.6	38379.6
1361.11	125.5	40421.7	40421.7
1361.61	125	43092.4	43092.4
1362.11	124.5	47297.7	47297.7
1362.61	124	52607.9	52607.9
1363.11	123.5	59117.2	59117.2
1363.61	123	64908.9	64908.9
1364.11	122.5	67697.1	67697.1
1364.61	122	65952.5	65952.5
1365.11	121.5	59827.5	59827.5
1365.61	121	51527.2	51527.2
1366.11	120.5	44299.6	44299.6
1366.61	120	40048.3	40048.3
1367.11	119.5	36587.4	36587.4
1367.61	119	35038.6	35038.6
1368.11	118.5	33498.6	33498.6
1368.61	118	32285.4	32285.4
1369.11	117.5	31504.9	31504.9
1369.61	117	30993.7	30993.7
1370.11	116.5	30938.7	30938.7
1370.61	116	30170.8	30170.8
1371.11	115.5	30642.3	30642.3
1371.61	115	30647.7	30647.7
1372.11	114.5	29727.8	29727.8
1372.61	114	30033.7	30033.7
1373.11	113.5	30427.5	30427.5
1373.61	113	29879.1	29879.1
1374.11	112.5	29653	29653
1374.61	112	29785.6	29785.6
1375.11	111.5	30301.7	30301.7
1375.61	111	30390.4	30390.4
1376.11	110.5	30856.8	30856.8
1376.61	110	30666.5	30666.5
1377.11	109.5	30627	30627
1377.61	109	30650.1	30650.1
1378.11	108.5	30764.8	30764.8
1378.61	108	30648.4	30648.4
1379.11	107.5	31727.9	31727.9
1379.61	107	31970.7	31970.7
1380.11	106.5	31988.2	31988.2
1380.61	106	32162.7	32162.7
1381.11	105.5	32735.1	32735.1
1381.61	105	32833.5	32833.5
1382.11	104.5	32744.3	32744.3
1382.61	104	33604.7	33604.7
1383.11	103.5	33738.5	33738.5
1383.61	103	33943.2	33943.2
1384.11	102.5	34000.4	34000.4
1384.61	102	34102.8	34102.8
1385.11	101.5	33856.4	33856.4
1385.61	101	34363.6	34363.6
1386.11	100.5	34309	34309
1386.61	100	34984.7	34984.7
1387.11	99.5	34974.1	34974.1
1387.61	99	34647.9	34647.9
1388.11	98.5	35863.1	35863.1
1388.61	98	35730.1	35730.1
1389.11	97.5	35458.4	35458.4
1389.61	97	35387.6	35387.6
1390.11	96.5	35127.6	35127.6
1390.61	96	35213.4	35213.4
1391.11	95.5	34506.3	34506.3
1391.61	95	33507.7	33507.7
1392.11	94.5	32414.2	32414.2
1392.61	94	31474.1	31474.1
1393.11	93.5	30622.2	30622.2
1393.61	93	30090.3	30090.3
1394.11	92.5	29461.1	29461.1
1394.61	92	29070.7	29070.7
1395.11	91.5	29156	29156
1395.61	91	28599.1	28599.1
1396.11	90.5	28191.9	28191.9
1396.61	90	28401.2	28401.2
1397.11	89.5	28269.4	28269.4
1397.61	89	28193.3	28193.3
1398.11	88.5	28308.2	28308.2
1398.61	88	28259	28259
1399.11	87.5	28479.9	28479.9
1399.61	87	28054.8	28054.8
1400.11	86.5	28288.3	28288.3
1400.61	86	27918.6	27918.6
1401.11	85.5	27918.5	27918.5
1401.61	85	28228.4	28228.4
1402.11	84.5	28195.9	28195.9
1402.61	84	28308.8	28308.8
1403.11	83.5	28727.1	28727.1
1403.61	83	28504.8	28504.8
1404.11	82.5	29193.8	29193.8
1404.61	82	29994.3	29994.3
1405.11	81.5	30900.6	30900.6
1405.61	81	32454.4	32454.4
1406.11	80.5	35258.1	35258.1
1406.61	80	38690.7	38690.7
1407.11	79.5	43545	43545
1407.61	79	51473.4	51473.4
1408.11	78.5	61011.7	61011.7
1408.61	78	70338.1	70338.1
1409.11	77.5	78140.4	78140.4
1409.61	77	84009.8	84009.8
1410.11	76.5	87870.5	87870.5
1410.61	76	92676.6	92676.6
1411.11	75.5	97495.8	97495.8
1411.61	75	95993	95993
1412.11	74.5	86999.3	86999.3
1412.61	74	71256.4	71256.4
1413.11	73.5	54981.2	54981.2
1413.61	73	40137.3	40137.3
1414.11	72.5	30296.2	30296.2
1414.61	72	23704.1	23704.1
1415.11	71.5	19328.1	19328.1
1415.61	71	16632.6	16632.6
1416.11	70.5	14642.4	14642.4
1416.61	70	12983.6	12983.6
1417.11	69.5	12133.4	12133.4
1417.61	69	11551.3	11551.3
1418.11	68.5	10539.1	10539.1
1418.61	68	9895.17	9895.17
1419.11	67.5	9401.66	9401.66
1419.61	67	8866.7	8866.7
1420.11	66.5	8694.79	8694.79
1420.61	66	8352.41	8352.41
1421.11	65.5	8415	8415
1421.61	65	8243.67	8243.67
1422.11	64.5	8130.47	8130.47
1422.61	64	7751.81	7751.81
1423.11	63.5	7695.55	7695.55
1423.61	63	7631.5	7631.5
1424.11	62.5	7555.83	7555.83
1424.61	62	7479.56	7479.56
