C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\CasaXP2.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
1118.11	368.5	162463
1118.61	368	163153
1119.11	367.5	164004
1119.61	367	164380
1120.11	366.5	165153
1120.61	366	165391
1121.11	365.5	166148
1121.61	365	166858
1122.11	364.5	167462
1122.61	364	168474
1123.11	363.5	169617
1123.61	363	170635
1124.11	362.5	171443
1124.61	362	172608
1125.11	361.5	174117
1125.61	361	175682
1126.11	360.5	177672
1126.61	360	180173
1127.11	359.5	182950
1127.61	359	185300
1128.11	358.5	189261
1128.61	358	194607
1129.11	357.5	199687
1129.61	357	207623
1130.11	356.5	216671
1130.61	356	228489
1131.11	355.5	242298
1131.61	355	258225
1132.11	354.5	274905
1132.61	354	289315
1133.11	353.5	298383
1133.61	353	299521
1134.11	352.5	291672
1134.61	352	275527
1135.11	351.5	254840
1135.61	351	234167
1136.11	350.5	215313
1136.61	350	199266
1137.11	349.5	186710
1137.61	349	176483
1138.11	348.5	168437
1138.61	348	162401
1139.11	347.5	158239
1139.61	347	154249
1140.11	346.5	152077
1140.61	346	150008
1141.11	345.5	148412
1141.61	345	147668
1142.11	344.5	146625
1142.61	344	146354
1143.11	343.5	146704
1143.61	343	147336
1144.11	342.5	148489
1144.61	342	150791
1145.11	341.5	153783
1145.61	341	157424
1146.11	340.5	162215
1146.61	340	168664
1147.11	339.5	176955
1147.61	339	187502
1148.11	338.5	201578
1148.61	338	220149
1149.11	337.5	243320
1149.61	337	270658
1150.11	336.5	300155
1150.61	336	328108
1151.11	335.5	347329
1151.61	335	351225
1152.11	334.5	337882
1152.61	334	310880
1153.11	333.5	276093
1153.61	333	239428
1154.11	332.5	207451
1154.61	332	180278
1155.11	331.5	159078
1155.61	331	142378
1156.11	330.5	129946
1156.61	330	119742
1157.11	329.5	111789
1157.61	329	105332
1158.11	328.5	100501
1158.61	328	96265.2
1159.11	327.5	92796.8
1159.61	327	89836.1
1160.11	326.5	87515.3
1160.61	326	85185
1161.11	325.5	83646.8
1161.61	325	82210.6
1162.11	324.5	80996.6
1162.61	324	79839.5
1163.11	323.5	78753.6
1163.61	323	77912.6
1164.11	322.5	77215.3
1164.61	322	76775.8
1165.11	321.5	76228.4
1165.61	321	75648.2
1166.11	320.5	75374.3
1166.61	320	74844
1167.11	319.5	75006.3
1167.61	319	74691.5
1168.11	318.5	74467.6
1168.61	318	73629.7
1169.11	317.5	73091.1
1169.61	317	72592
1170.11	316.5	72495.9
1170.61	316	72046.1
1171.11	315.5	72034.8
1171.61	315	71762.7
1172.11	314.5	71848.3
1172.61	314	71410.4
1173.11	313.5	71124.6
1173.61	313	70824
1174.11	312.5	70792.3
1174.61	312	70782.8
1175.11	311.5	70527.1
1175.61	311	70469.8
1176.11	310.5	70477.6
1176.61	310	70345.6
1177.11	309.5	70473
1177.61	309	70414
1178.11	308.5	70278.9
1178.61	308	70172.5
1179.11	307.5	70236.3
1179.61	307	70308.6
1180.11	306.5	70229.5
1180.61	306	69967.7
1181.11	305.5	70205.1
1181.61	305	70001.2
1182.11	304.5	70124.6
1182.61	304	69917.9
