C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected
1369.61	117	35789.2
1370.11	116.5	35218.4
1370.61	116	34860.9
1371.11	115.5	34111.1
1371.61	115	34456.6
1372.11	114.5	34541.5
1372.61	114	34156.5
1373.11	113.5	34552.2
1373.61	113	33984.6
1374.11	112.5	34139.6
1374.61	112	34656.4
1375.11	111.5	34635.1
1375.61	111	34596.8
1376.11	110.5	34730.4
1376.61	110	34907.5
1377.11	109.5	35025.2
1377.61	109	35053.7
1378.11	108.5	35147.1
1378.61	108	35285.1
1379.11	107.5	35830.4
1379.61	107	36332
1380.11	106.5	36400.5
1380.61	106	36904.8
1381.11	105.5	36767.2
1381.61	105	37661.1
1382.11	104.5	37983
1382.61	104	38159.3
1383.11	103.5	38555.4
1383.61	103	37983.8
1384.11	102.5	38472.4
1384.61	102	38604.6
1385.11	101.5	38497.2
1385.61	101	38692.5
1386.11	100.5	38853.9
1386.61	100	39062.1
1387.11	99.5	39167.4
1387.61	99	39843.3
1388.11	98.5	39759.6
1388.61	98	40002.6
1389.11	97.5	40391.5
1389.61	97	40525.1
1390.11	96.5	40833.8
1390.61	96	41034.3
1391.11	95.5	41002.2
1391.61	95	41123.4
1392.11	94.5	41154.4
1392.61	94	40488.6
1393.11	93.5	39577
1393.61	93	38897.2
1394.11	92.5	38298.6
1394.61	92	37831.4
1395.11	91.5	37467
1395.61	91	36957.1
1396.11	90.5	36896
1396.61	90	37085.8
1397.11	89.5	37048.4
1397.61	89	37503
1398.11	88.5	37309.8
1398.61	88	37174.8
1399.11	87.5	37277.6
1399.61	87	37042.3
1400.11	86.5	37453.5
1400.61	86	37081.5
1401.11	85.5	37204.8
1401.61	85	37274.6
1402.11	84.5	36848.2
1402.61	84	37573.1
1403.11	83.5	37526.1
1403.61	83	38007.2
1404.11	82.5	38750.3
1404.61	82	39736.7
1405.11	81.5	40750.9
1405.61	81	42811
1406.11	80.5	46498.3
1406.61	80	51337.6
1407.11	79.5	59144.8
1407.61	79	69553.2
1408.11	78.5	82539.4
1408.61	78	94632.4
1409.11	77.5	106067
1409.61	77	114154
1410.11	76.5	119978
1410.61	76	126348
1411.11	75.5	131992
1411.61	75	131414
1412.11	74.5	119194
1412.61	74	97257.5
1413.11	73.5	72375
1413.61	73	52721.7
1414.11	72.5	39597.2
1414.61	72	31326.9
1415.11	71.5	25293.3
1415.61	71	21030.9
1416.11	70.5	18295.1
1416.61	70	16379.3
1417.11	69.5	14618.7
1417.61	69	13557.6
1418.11	68.5	12681.3
1418.61	68	11989
1419.11	67.5	11230.5
1419.61	67	10716.2
1420.11	66.5	10277.3
1420.61	66	9963.12
1421.11	65.5	9727.65
1421.61	65	9450.55
1422.11	64.5	9151.3
1422.61	64	8879.87
1423.11	63.5	8883.07
1423.61	63	8816.6
1424.11	62.5	8717.98
1424.61	62	8576.69
1425.11	61.5	8554.5
1425.61	61	8311.63
1426.11	60.5	8050.79
1426.61	60	8264.36
1427.11	59.5	8214.97
1427.61	59	7974.07
1428.11	58.5	7904.11
1428.61	58	8019.25
1429.11	57.5	7993.61
1429.61	57	7954.72
1430.11	56.5	8114.6
1430.61	56	8125.8
1431.11	55.5	7705.54
1431.61	55	7893.09
1432.11	54.5	8205.22
1432.61	54	8018.88
1433.11	53.5	8003.4
1433.61	53	7861.88
1434.11	52.5	7865.02
1434.61	52	8038.04
1435.11	51.5	7972.57
1435.61	51	7810.15
1436.11	50.5	7858.88
1436.61	50	8038.26
1437.11	49.5	8129.43
1437.61	49	7992.98
1438.11	48.5	8155.51
1438.61	48	8163.43
1439.11	47.5	8083.81
1439.61	47	7910.71
1440.11	46.5	8136.23
1440.61	46	8311.25
