C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Ag in He.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
940.11	546.5	73658.9
940.61	546	73682.4
941.11	545.5	73436.7
941.61	545	73615
942.11	544.5	73700.1
942.61	544	73483.2
943.11	543.5	73648.8
943.61	543	73895.6
944.11	542.5	73948.9
944.61	542	73762.3
945.11	541.5	73918.7
945.61	541	74035.8
946.11	540.5	73882.5
946.61	540	73867.1
947.11	539.5	74089.6
947.61	539	74235.9
948.11	538.5	73954.8
948.61	538	74278.3
949.11	537.5	74491.3
949.61	537	74564.4
950.11	536.5	74564.6
950.61	536	74571.7
